"CoilId","ParamSet","Grade","Length","Width","Thickness","Weight","BdeCoilId","LastDefectId","SLength","InternalStatus","DefectCount","Campaign"
"459481","1","2","396365","1556","5.499","27600","05Y21M","6687","401726","X","2737","0516212"
"459482","1","2","380431","1556","5.499","26450","03Y21N","6568","384962","X","2988","0516213"
"459483","1","2","426796","1560","6.198","33559","03Y21C","3856","432206","X","1180","0516113"
"459484","1","2","428956","1560","6.198","33640","01Y21D","6102","433425","X","2702","0516101"
"459485","1","-1","430732","1560","6.198","33630","03Y21F","2694","433120","X","852","0516203"
"459486","1","2","429790","1556","6.198","33740","02Y21M","6565","435864","X","2884","0516217"
"459487","1","2","418096","1560","6.274","33650","02Y20Y","3728","428244","X","1842","0516120"
"459488","1","2","418576","1560","6.274","33650","01Y21B","2107","428244","X","1023","0516111"
"459489","1","-1","418617","1560","6.274","33680","02Y21B","4064","428548","X","1686","0516115"
"459490","1","2","367962","1558","7.188","33750","01Y21P","2277","375208","X","799","0516303"
"459491","1","-1","326568","1561","7.92","33740","02Y20A","1207","339852","X","532","0516306"
"459492","1","2","160556","1558","9.525","19030","02Y21P","2732","159715","X","1070","0516301"
"459493","1","2","154787","1558","9.525","19050","03Y21P","3953","159715","X","1621","0516302"
"459494","1","2","246235","1558","9.525","30300","04Y21P","15800","254203","X","3966","0516304"
"459495","12","-1","132447","1250","9.525","27310","04Y22D","94","282854","X","42","0516401"
"459496","1","2","472372","1560","7.92","33700","03Y21E","15120","339547","X","3378","0516104"
"459497","1","2","334665","1560","7.92","33660","04Y21E","5553","339242","X","2328","0516106"
"459498","1","2","335331","1560","7.92","33680","01Y21F","6624","339547","X","2827","0516202"
"459499","1","2","335479","1560","7.92","33700","02Y21F","4440","339547","X","2020","0516201"
"459500","1","2","335292","1561","7.92","33750","01Y21K","5317","339852","X","2321","0516220"
"459501","1","2","299918","1558","7.92","30160","02Y21R","6331","304495","X","2930","0516305"
"459502","6","2","352749","1560","7.493","33820","02Y20X","2674","360273","X","1427","0516117"
"459503","1","2","419499","1560","6.274","33710","03Y21B","2823","428853","X","1150","0516114"
"459504","1","2","418483","1560","6.274","33680","04Y21B","3577","428548","X","1930","0516116"
"459505","12","2","414225","1256","6.35","27250","03Y22A","973","421233","X","256","0516413"
"459506","12","-1","413165","1256","6.35","27230","06Y22A","774","420928","X","201","0516404"
"459507","12","2","427635","1250","6.198","27130","05Y22C","660","431596","X","203","0516409"
"459508","12","2","485849","1256","5.499","27330","04Y22A","982","487680","X","283","0516402"
"459509","12","2","484880","1256","5.499","27310","05Y22A","1037","487375","X","352","0516403"
"459510","12","-1","484533","1250","5.499","27190","04Y22C","857","487680","X","150","0516410"
"459511","12","-1","483147","1250","5.499","27170","03Y22D","918","487375","X","222","0516414"
"459512","6","-1","632405","1254","4.249","27320","03Y21X","2657","632155","X","981","0516407"
"459513","12","2","663111","1560","4","33900","04Y22M","2097","669645","X","461","0516705"
"459514","12","2","658008","1568","4","33980","04Y22L","2275","667816","X","659","0516709"
"459515","12","-1","656477","1568","4","33940","03Y22L","890","666902","X","245","0516708"
"459516","12","2","659464","1568","4","34040","01Y22L","3137","669036","X","771","0516707"
"459517","12","2","667759","1568","4","34040","01Y22K","3075","669036","X","1399","0516711"
"459518","12","2","665684","1568","4","33999","02Y22K","1072","668121","X","311","0516713"
"459519","12","2","669136","1569","4","34040","04Y22J","1588","668731","X","567","0516712"
"459520","12","2","668740","1569","4","34130","05Y22J","1421","670255","X","474","0516714"
"459521","12","2","663966","1568","4","34050","04Y22K","2224","669340","X","630","0516715"
"459522","12","2","409787","1560","4","20860","01Y22P","3948","412089","X","1215","0516807"
"459523","1","2","681230","1565","4","33493","04Y19E","14434","666292","X","5114","0515415"
"459524","12","-1","566529","1560","4","28770","02Y22P","1180","568452","X","417","0516808"
"459525","12","2","563834","1560","4.623","33860","01Y22T","1704","578815","X","466","0516802"
"459526","12","2","560732","1560","4.648","33850","02Y22T","1184","575462","X","380","0516803"
"459527","12","2","412445","1560","5.499","28750","03Y22P","1304","413004","X","386","0516809"
"459528","12","2","474266","1560","5.537","33930","03Y22T","1710","484327","X","626","0516804"
"459529","1","2","431912","1560","6.2","33789","02Y21J","4076","435254","X","1815","0516208"
"459530","12","2","414866","1558","6.35","33910","01Y22W","1400","422452","X","436","0516810"
"459531","12","2","414058","1558","6.35","33900","02Y22W","1483","422452","X","464","0516811"
"459532","12","2","415486","1560","6.35","33850","03Y22R","1482","421233","X","465","0516806"
"459533","12","2","329608","1560","7.92","33810","04Y22T","1940","337413","X","606","0516805"
"459534","12","2","334810","1560","7.92","33910","02Y22R","1423","338328","X","496","0516801"
"459535","12","2","333934","1565","7.92","33910","01Y22M","1824","337108","X","578","0516701"
"459536","12","2","334559","1560","7.92","33960","02Y22M","1524","338937","X","543","0516702"
"459537","12","2","275694","1558","9.525","33910","02Y23B","1437","281635","X","505","0516816"
"459538","12","2","275074","1559","9.525","33820","03Y22X","1514","280720","X","702","0516813"
"459539","12","2","273882","1559","9.525","33760","02Y22X","1572","280111","X","769","0516815"
"459540","12","2","274479","1250","9.525","27170","01Y22F","1465","281330","X","452","0516904"
"459541","12","2","335920","1559","7.92","34030","03Y23A","1966","339852","X","647","0516901"
"459542","12","2","330485","1559","7.92","33779","01Y22X","2041","337108","X","1051","0516814"
"459543","1","2","378585","1252","6.909","27060","02Y20P","3521","389534","X","947","0515710"
"459544","1","2","384431","1565","6.711","33730","02Y10P","3876","399897","X","1320","0509408"
"459545","12","2","414964","1559","6.35","33850","04Y23A","1701","421538","X","515","0516903"
"459546","12","2","414568","1559","6.35","33870","01Y23A","951","421843","X","360","0516902"
"459547","12","2","413748","1558","6.35","33880","03Y22W","826","422148","X","239","0516812"
"459548","12","-1","414690","1256","6.35","27310","02Y22A","565","422148","X","147","0516412"
"459549","1","2","416502","1252","6.274","27050","04Y20P","1960","428853","X","521","0515711"
"459550","12","2","427712","1250","6.198","27150","01Y22D","669","431901","X","173","0516905"
