"ClassId","Name","ShortName","ClassLevel","CustomClassId","Status"
"0","Not Classified","NC","0","-1","U"
"1","Small","Small","0","-1","D"
"2","DefectClass 2","Class 2","0","-1","D"
"3","Diamond","Diamond","0","-1","U"
"10","Holes BD","Holes","3","45","U"
"11","Hole Dark","Hole","3","45","U"
"199","Other","Other","1","112","D"
"208","Brsh Mk B","Brsh Mk B","0","60","U"
"209","Brsh Mrk D","Brsh Mrk D","0","60","U"
"210","BrshMrk BD","BrshMrk BD","0","60","U"
"211","BM Diag BD","BM Diag BD","0","60","U"
"212","BM Diag D","BM Diag D","0","60","U"
"213","BM Diag B","BM Diag B","0","60","U"
"214","Digs BD","Digs BD","2","5","U"
"215","Digs D","Digs D","2","5","U"
"216","Digs B","Digs B","2","5","U"
"217","Ps Scr","PsScratch","1","112","U"
"218","Dig Tail D","Dig Tail D","2","5","U"
"219","Dig TailBD","Dig TailBD","2","5","U"
"220","Dig Tail B","Dig Tail B","2","5","U"
"221","Edge","Edge","2","-1","D"
"222","Edge Crack","Cracks","3","12","U"
"223","Edge Crimp","EdgeCrmp","1","12","U"
"224","Edg Scr HR","B50","2","20","D"
"225","Edge Seam","C28","0","12","U"
"231","ExAnnl","ExAnnl","1","-1","D"
"232","ExPickl","ExPickl","1","-1","D"
"235","Fold","Fold","1","-1","U"
"240","Grease","Grease","0","-1","D"
"245","Hole","F00","3","65","D"
"250","Imprint","Imprint","1","40","U"
"251","AP Imprint","AP Imprint","1","40","D"
"255","KK Lams","KK Lams","3","45","U"
"256","Lam L","Lam L","3","15","D"
"257","Lam S","Lam S","3","15","U"
"258","Lam","Lam","2","15","U"
"259","Strng Lam","Str Lams","2","15","U"
"261","Osc Closed","C15","0","10","U"
"262","Osc Open","C12","3","10","U"
"264","Bridle RM","L47","1","35","U"
"265","HR DCPR","C42","1","35","U"
"266","HR Tbl Rll","D51","1","35","U"
"267","HR WRM","HR WRM","0","35","U"
"268","Roughness","Rghnss","1","56","U"
"269","RghnsPckup","Rghns T3","1","55","D"
"270","RghnsStrks","Strky Rgh","1","56","U"
"275","Rubr Lg","K41 Lrg","0","25","U"
"276","Rubber","K41","2","25","U"
"277","RubrSmll","K41 SML","0","25","U"
"281","Scale","F14","0","1","U"
"282","Scle Mark","Scle Mrk","0","1","U"
"283","SclMkwScle","L Scale","0","1","D"
"291","Scr B","ScrB","2","20","U"
"292","Scr Drk","ScrD","2","20","U"
"294","Ps Scr","PsScr","0","112","D"
"295","Seam","Seam","1","-1","U"
"300","Slips","Slips","0","5","U"
"301","Slip Horzl","Slip H","0","45","D"
"305","Sliver","Sliver","1","15","D"
"309","HR Egr Scr","D57","2","20","U"
"310","Stain Acid","H44","0","30","U"
"311","HR DCPR","C43","1","35","U"
"312","Stn Alci B","AlcaliB","1","30","D"
"313","Stn Alci B","AlcaliC","1","30","D"
"314","Stn Alci D","AlcaliD","1","30","D"
"315","StnsComet","F87","1","30","D"
"316","Stns Drk","P44","2","30","U"
"317","Stains Oil","Oil Stains","0","30","D"
"318","Stan Sldge","N44","1","30","U"
"319","Stns Water","F80","2","30","D"
"320","Stns Wtr HR","B44","0","30","U"
"331","Ti Inclusn","C40","2","15","U"
"332","Ti Strk","C30","1","16","D"
"335","Weld","Weld","0","62","U"
"336","Weld Hole","W Hole","1","62","D"
"337","Weld Notch","Notch","1","62","U"
"340","Wrinkles","WRINKLE","1","-1","D"
"341","Gnd Slvrs","B07","1","16","D"
"351","ZM Pimple","ZMPimple","1","-1","D"
"352","ZM Stop","ZM Stop","1","-1","D"
"353","ZMChain","ZMChain","1","-1","D"
"354","Grnd Slvrs","B07","1","16","U"
"360","Latrl Frng","Lat Frng","0","55","U"
"400","PsSurface","PsSrf","0","112","D"
"401","PsEdge","PsEdge","1","112","D"
"402","PsLam","PsC20","1","112","D"
"403","PsOscSlver","PsC12","1","112","D"
"404","PsSliver","PsSliver","1","112","D"
"405","PsRoll","PsRoll","0","112","D"
"406","Coil End","Tail","0","-1","U"
"1022","Recording","Rec","0","113","U"
"1023","Statistic","Stat","0","111","U"
"1025","OD Flood","OD FLOOD","0","111","U"
"1026","Cl Flood","CL FLOOD","1","111","U"
"1027","Time Flood","TI FLOOD","1","111","U"
"1028","Grayvalue","Gray","1","111","U"
"1029","Database Flood","DB FLOOD","1","111","U"
"1030","Prio 0 Flood","L0 FLOOD","1","111","U"
"1031","Prio 1 Flood","L1 FLOOD","1","111","U"
"1032","Prio 2 Flood","L2 FLOOD","1","111","U"
"1033","Prio 3 Flood","L3 FLOOD","1","111","U"
"1034","Prio 4 Flood","L4 FLOOD","1","111","U"
"2048","Width","Width","2","-1","U"
