"ClaimId","CustomerClaimDefectWeight"
0,"1992"
1,"1522"
2,"707"
3,"2710"
4,"112"
5,"0"
6,"57"
7,"0"
8,"4534"
9,"0"
10,"10910"
11,"4050"
12,"4355"
13,"1511"
14,"1567"
15,"714"
16,"2974"
17,"14520"
18,"4508"
19,"21820"
20,"770"
21,"358"
22,"885"
23,"770"
24,"7807"
25,"890"
26,"6180"
27,"1159"
28,"1029"
29,"1800"
30,"3530"
31,"564"
32,"1050"
33,"0"
34,"0"
35,"2616"
36,"2531"
37,"1364"
38,"238"
39,"15030"
40,"0"
41,"26091"
42,"8090"
43,"2030"
44,"2407"
45,"36"
46,"38"
47,"2067"
48,"692"
49,"0"
50,"1505"
51,"1505"
52,"3328"
53,"0"
54,"0"
55,"4029"
56,"11235"
57,"0"
58,"1260"
59,"4466"
60,"0"
61,"3900"
62,"13500"
63,"1250"
64,"3628"
65,"1040"
66,"8430"
67,"1094"
68,"1330"
69,"1406"
70,"840"
71,"2449"
72,"1260"
73,"1547"
74,"1820"
75,"2338"
76,"440"
77,"963"
78,"830"
79,"1248"
80,"888"
81,"1134"
82,"838"
83,"840"
84,"1156"
85,"35270"
86,"2749"
87,"1756"
88,"710"
89,"1700"
90,"640"
91,"1840"
92,"1137"
93,"3424"
94,"369"
95,"486"
96,"450"
97,"3823"
98,"7716"
99,"1818"
100,"1753"
101,"5414"
102,"4292"
103,"32960"
104,"1158"
105,"190"
106,"32830"
107,"3030"
108,"3060"
109,"43"
110,"8408"
111,"806"
112,"1570"
113,"812"
114,"970"
115,"900"
116,"0"
117,"3710"
118,"0"
119,"2200"
120,"612"
121,"1870"
122,"1056"
123,"617"
124,"1247"
125,"806"
126,"18470"
127,"2355"
128,"1003"
129,"2346"
130,"2407"
131,"43"
132,"0"
133,"2540"
134,"1921"
135,"2674"
136,"569"
137,"529"
138,"693"
139,"1573"
140,"1265"
141,"8145"
142,"1695"
143,"3578"
144,"980"
145,"3201"
146,"2310"
147,"2484"
148,"2492"
149,"2146"
150,"2496"
151,"2296"
152,"2854"
153,"1890"
154,"3385"
155,"643"
156,"0"
157,"33290"
158,"1307"
159,"616"
160,"930"
161,"2750"
162,"8316"
163,"1190"
164,"1529"
165,"1815"
166,"1522"
167,"33"
168,"18"
169,"1023"
170,"7528"
171,"0"
172,"0"
173,"8580"
174,"1650"
175,"1219"
176,"1666"
177,"3527"
178,"830"
179,"466"
180,"1830"
181,"2665"
182,"464"
183,"1049"
184,"4909"
185,"3836"
186,"4909"
187,"32070"
188,"13460"
189,"481"
190,"2727"
191,"786"
192,"33"
193,"4911"
194,"2534"
195,"672"
196,"1584"
