"DefectCodeId","DefectCode","Description","DefectGroup","ShortDescription","DefectOrigin","DefectStrLine","DefectEndLine"
1,"A01       ","Camber (Slabs)","G99            ","Camber","AC   ",0,0
2,"A02       ","Crowned (Dished) Edges","G99            ","Crown","AC   ",0,0
3,"A03       ","Crowned (Dished) Surface","G99            ","Crown","AC   ",0,0
4,"A04       ","Poor Flatness (Slabs)","G99            ","OOT Flatness","AC   ",0,0
5,"A05       ","Differnet Width between Faces","G99            ","Different Width Between Faces","AC   ",0,0
6,"A06       ","END CASTING BUCKLE/HEAT END DEPRESSION","G99            ","Casting Buckle","AC   ",0,0
7,"A07       ","LONGITUDINAL CONTINUOUS CASTING BUCKLES(gutter)","G99            ","Casting Buckle","AC   ",0,0
8,"A08       ","TRANSVERSE CASTING BUCKLES IN SLAB NO. 1","G99            ","Casting Buckle","AC   ",0,0
9,"A09       ","Caster Startup In Manual","G99            ","Buckles from Grinding","AC   ",0,0
10,"A10       ","Cracked Edges /  Hot Rolled  - Poor Chemistry","G99            ","Defective Cut","AC   ",0,0
11,"A11       ","Defective Cut (Step)","G99            ","Defective Cut","AC   ",0,0
12,"A12       ","Tapered Slab","G99            ","Defective Cut","AC   ",0,0
13,"A13       ","OUT OF TOLERANCE IN LENGTH (SLABS)","G99            ","OOT in Length","AC   ",0,0
14,"A14       ","OUT OF TOLERANCE IN WIDTH (SLABS)","G99            ","OOT in Width","AC   ",0,0
15,"A15       ","OUT OF TOLERANCE IN THICKNESS (SLABS)","G99            ","OOT in Thickness","AC   ",0,0
16,"A16       ","DIFFERENT THICKNESS BETWEEN SIDES","G99            ","Different Thickness Between Sides","AC   ",0,0
17,"A17       ","LONGITUDINAL CRACKS IN THE CORNERS (FACES)","G99            ","Cracks","AC   ",0,0
18,"A18       ","LONGITUDINAL CRACKS IN THE CORNERS (EDGES)","G99            ","Cracks","AC   ",0,0
19,"A19       ","TRANSVERSE CRACKS IN THE CORNERS (FACES)","G99            ","Cracks","AC   ",0,0
20,"A20       ","TRANSVERSE CRACKS IN THE CORNERS (EDGES)","G99            ","Cracks","AC   ",0,0
21,"A21       ","DEEP CRACKS IN THE FACES","G99            ","Cracks","AC   ",0,0
22,"A22       ","LIGHT CRACKS IN THE FACES","G99            ","Cracks","AC   ",0,0
23,"A23       ","LONGITUDINAL CRACKS IN SLAB NO. 1","G99            ","Cracks","AC   ",0,0
24,"A24       ","TRANSVERSE CRACKS FROM CONTINUOUS CASTING (FACES)","G99            ","Cracks","AC   ",0,0
25,"A25       ","TRANSVERSE CRACKS FROM CONTINUOUS CASTING (EDGES)","G99            ","Cracks","AC   ",0,0
26,"A26       ","CRACKS TO MID-POINT IN SLAB NO. 1","G99            ","Cracks","AC   ",0,0
27,"A27       ","CRACKS TO MID-POINT BETWEEN SLABS","G99            ","Cracks","AC   ",0,0
28,"A28       ","CRACKS TO MID-POINT IN LAST SLAB","G99            ","Cracks","AC   ",0,0
29,"A29       ","STAR SHAPED CRACKS","G99            ","Cracks","AC   ",0,0
30,"A30       ","CRACKS FROM CUTTING","G99            ","Cracks","AC   ",0,0
31,"A31       ","CRACKS FROM GRINDING","G99            ","Cracks","AC   ",1510,1510
32,"A32       ","CRACKS FROM FRAGILITY/SLABS GOT COLD/DBTT","G99            ","Cracks","ACL  ",0,0
33,"A33       ","TRAPPED SLAG IN SLAB NO. 1","G99            ","Trapped Slag","AC   ",0,0
34,"A34       ","TRAPPED SLAG IN OTHER SLABS","G99            ","Trapped Slag","AC   ",0,0
35,"A35       ","ABNORMAL OSCILLATION MARKS","G99            ","Oscillation Marks","AC   ",0,0
36,"A36       ","ROLL MARKS FROM CONTINUOUS CASTING","G99            ","Roll Mark","AC   ",0,0
37,"A37       ","POROUS SLAB","G99            ","Porous Slab","AC   ",0,0
38,"A38       ","LONGITUDINAL DEPRESSIONS / CENTER PANEL","G99            ","Porous Slab","AC   ",0,0
39,"A39       ","BLEED-OFF (Wide Face)","G99            ","Bleed Off","AC   ",0,0
40,"A40       ","MOLD POWDER ENTRAPMENT","G99            ","Material Cooling in Slab","AC   ",0,0
41,"A41       ","TITANIUM INCLUSIONS","G99            ","Titanium Inclusions","AC   ",0,0
42,"A42       ","FOLDS","G99            ","Folds","AC   ",0,0
43,"A43       ","OVERLAPPING","G99            ","Overlapping","AC   ",0,0
44,"A44       ","OXI-CUTTING FAILURE (HOLES)","G99            ","OXI Cutting Failure","AC   ",0,0
45,"A45       ","POOR ROUGHNESS / MOLD POWDER FAILURE","G99            ","Poor Roughness","AC   ",0,0
