"SteelGradeID","NASGradeName","Description","ASTM","AISI"
"1","050 ","ASTM Code 304L Steel Type 050 ","304L      ","304L                "
"2","070 ","ASTM Code 316L Steel Type 070 ","316L      ","316L                "
"3","150 ","ASTM Code 304L Steel Type 150  ","304L      ","304L                "
"4","020 ","ASTM Code 304 Steel Type 020 ","304       ","304                 "
"5","030 ","ASTM Code 304LN Steel Type 030 ","304LN     ","304LN               "
"6","051 ","ASTM 304L Steel Code 051 ","304L      ","304L                "
"7","101 ","ASTM Code 301 Steel Code 101 ","301       ","301                 "
"8","102 ","ASTM 301LN Steel Code 102 ","301LN     ","301LN               "
"9","103 ","ASTM 301 Steel Code 103 ","301       ","301                 "
"10","130 ","ASTM 304LN Steel Type 130 ","304LN     ","304                 "
"11","140 ","ASTM 302 Steel Type 140 ","302       ","302                 "
"12","151 ","ASTM 304LDQ Steel Code 151 ","304LDQ    ","304LDQ              "
"13","161 ","ASTM 304DQ Steel Code 161 ","304DQ     ","304DQ               "
"14","170 ","ASTM 304DDQ Steel Code 170  ","304DDQ    ","304DDQ              "
"15","195 ","Steel Type 195 ASTM 304EDDQ ","304EDDQ   ","304EDDQ             "
"16","200 ","Steel Code 200 ASTM 304LDDQ ","304LDDQ   ","304                 "
"18","210 ","Steel Code 210 ASTM 305","305       ","305                 "
"19","270 ","ASTM 316L Steel Code 270  ","316L      ","316/316L            "
"20","280 ","Steel Code 280 ASTM 316TI","316TI     ","316 TI              "
"21","300 ","Steel Code 300 ASTM 316L","316L      ","314                 "
"22","305 ","Steel Code 305 ASTM 317L ","317L      ","317L                "
"23","315 ","Steel Code 315 ASTM 321 Equivalent Acx 315","321       ","321                 "
"24","320 ","Steel Code 320 ASTM 316LN Equivalent Acx 320","316LN     ","316LN               "
"25","350 ","Steel Code 350 ASTM 310s ASTM 310S Equivalent Acx 350","310S      ","310S                "
"26","500 ","ASTM 430 Steel Code 500 New Chemistry as of 6/6/2003 Equivalent Acx 500","430       ","430                 "
"27","105 ","ASTM 301 Steel Code 103 ","301       ","301                 "
"28","147 ","ACERINOX 140 NAS 147","302       ","302                 "
"30","104 ","ASTM 301","301       ","301                 "
"31","157 ","ACERINOX 150 NAS 157","304L      ","304L                "
"32","127 ","ACERINOX 120 NAS 127","304       ","304                 "
"33","177 ","ACERINOX 170 NAS 177","304DDQ    ","304DDQ              "
"34","120 ","ASTM Code 304 Steel Type120 ","304       ","304                 "
"35","800 ","AISI 409 - REAL.","409-10    ","409-10              "
"36","520 ","ASTM 439","439       ","439                 "
"37","801 ","AISI 409 - REAL.","409-20    ","409-20              "
"38","804 ","AISI 409M BILLET","409-76    ","409-76              "
"39","527 ","ASTM 439 with Nb","439-32    ","439-32              "
"40","805 ","AISI 409-30 Nb Dual Stabilize","409-30    ","409-30              "
"41","525 ","ASTM 439 with Nb","439-32    ","439-32              "
"42","507 ","ASTM 430- SEE AS400 FOR CHEMISTRY SPEC","430       ","430                 "
"44","540 ",NULL,"441       ","441                 "
"45","143 ","304L INTERMEDIATE SULFUR - BILLET GRADE","304L      ","304/304L            "
"46","273 ","316L - BILLET CASTER  GRADE LOW S","316L      ","316L                "
"47","264 ","316LS - BILLET CASTER  GRADE INTERMEDIATE S","316L      ","316L                "
"48","134 ","134","304       ","304                 "
"49","136 ",NULL,"304       ",NULL
"50","141 ",NULL,"304       ","304                 "
"51","142 ","BILLET GRADE LIKE 161 BUT LOW C","304L      ","304/304L            "
"52","155 ","303 BILLET CASTER GRADE - HIGH S","303       ","303                 "
"53","145 ","BILLET GRADE 302 critical Grade see AS400 for spec","302       ","302                 "
"54","316 ","BILLET GRADE","321       ",NULL
"55","115 ","BILLET AISI 302 CRITICAL GRADE see AS400 for  Chem spec","304       ","304                 "
"56","206 ","304L Billet critical grade see AS400 for Chem spec","304L      ",NULL
"57","208 ",NULL,"304L      ",NULL
"58","306 ",NULL,"314       ",NULL
"59","506 ","AISI 430 BILLET","430       ",NULL
"60","220 ",NULL,"310S      ","310S                "
"61","156 ",NULL,"303       ","303                 "
"62","290 ","316 billet Critical Grade see AS400 for chem spec","316       ","316                 "
"63","183 ","304 billet critical grade see As400 for chem spec","304       ","304M                "
"64","455 ","416","416       ","416                 "
"65","144 ","302 Critical Grade see AS400 for Chem spec","302       ","302/304             "
"66","146 ",NULL,"302       ","302/304             "
"67","201 ","304L billet critical grade see AS400 for chem spec","304L      ",NULL
"68","215 ",NULL,"305       ","305                 "
"69","494 ","304 Cu","304CU     ","304CU               "
"70","495 ","304 Cu","304CU     ","304CU               "
"71","810 ","810 425T","425T      ","425T                "
"72","803 ",NULL,"409-40    ","409-40              "
"73","806 ","ASTM 409-20","409-30    ","409-30              "
"74","114 ","302 Critical Grade Billet see AS400 for Chem spec","302       ","302                 "
"75","148 ",NULL,"304L      ","304/304L            "
"76","113 ",NULL,"302       ","304L                "
"77","905 ",NULL,"2205      ","2205                "
"78","807 ","SEE AS400 FOR CHEMISTRY SPEC","409-20    ","409                 "
"79","152 ",NULL,"304L      ","304/304L            "
"80","605 ",NULL,"204CU     ","204CU               "
"81","122 ",NULL,"304N      ","304                 "
"82","132 ",NULL,"304LN     ",NULL
"83","600 ","ASTM 201","201       ","201                 "
"84","550 ",NULL,"436M      ","436L                "
"85","107 ","ASTM 301","301       ","301                 "
"86","167 ",NULL,"304DQ     ","304DQ               "
"88","277 ",NULL,"316L      ","316L                "
"89","601 ","ASTM 201","201       ","201                 "
"90","910 ","DUPLEX","2304      ","2304 DUPLEX         "
"91","907 ","DUPLEX","DUPLEX    ",NULL
"92","121 ",NULL,"304H      ","304H                "
"93","492 ","302HQ","302HQ     ",NULL
"94","112 ","302 Critical Grade see AS400 for chemistry spec","302       ","302                 "
"95","184 ","304 Billet critical grade see as400 chem spec","304       ",NULL
"96","116 ",NULL,"304       ","304                 "
"97","900 ","DUPLEX ","2205      ","2205                "
"98","602 ",NULL,"201LN     ","201LN               "
"99","456 ",NULL,"416       ","416                 "
"100","604 ",NULL,"201       ","201                 "
"101","606 ",NULL,"204CU     ",NULL
"102","510 ",NULL,"430LNB    ","430 (M.O.D.)        "
"103","915 ",NULL,"2101      ",NULL
"104","501 ",NULL,"430       ","430                 "
"105","700 ",NULL,"630       ","17-4                "
"106","077 ",NULL,"316L      ","316L                "
"107","154 ",NULL,"303       ","303                 "
"109","802 ",NULL,"409-75    ","409-75              "
"110","207 ",NULL,"304L      ","304L                "
"111","205 ","Steel Code 205 ASTM 309S","309S      ","304L                "
