"ClaimId","ClaimNumber","ClaimDispositionSequence","BusinessUnit","ClaimType","ProductIdentification1","ProductIdentification2","MaterialSource","Heat","ProductType","SteelFamily","SteelType","SteelGradeASTMAISI","Finish","MaterialGaugeOrDiameter","MaterialWidthOrLegLength","MaterialLength","CustomerNumber","FormatMinGaugeOrDiameter","FormatMinWidthOrLegLength","FormatMaxWidthOrLegLength","FormatMinWeight","FormatMaxWeight","OriginalShippedWeight","OriginalShipQuality","ClaimDispositionStatus","TotalWeightClaimed","CustomerClaimDefect","CustomerClaimDefectDesc","CustomerClaimDefectWeight","NASIdentifiedDefect","NASIdentifiedDefectDesc","NASIdentifiedDefectWeight","AreaofResponsibilityDefect","AreaofResponsibilityDefectDesc","AreaofResponsibilityDefectWeigh","CustomerDefectOrigin","CustomerDefectGroup","CustomerDefectGroupDesc","TotalReturnInventoryWeight","TotalScrapAtCustomerWeight","TotalSell3rdPartyWeight","TotalCustomerCreditWeight","LastInspectionLine","LastInspectionMachine"
0,67518,1,"F","T","H13726 ","      ","F","W80V  ","C","B",120,"304",1,"0.375","60","306.563","2e58b47b159de50db8712390c34e5852","0.365","0.405","60.25","2000","13000","3985","5A","Q","1992","F927","Lack of Marking                                   ","1992",8,"Operation Defect                                  ",1992,"F028","Line 4210                                         ","1992","VAR","F09","Stencil Errors           ","0","1992","0","0",4210,"     "
1,67542,1,"L","T","VD60186","      ","L","W70H  ","A","B",152,"304/304L      ",4,"0.125","2","252","0f6ef5c224426ccda69a8f4be965282f","0.105","0.145","4","1000","3000","1522","1","C","1522","LB17","Unequal legs                                      ","1522",1,"Defect Not Seen                                   ",1522,"L011","Hot Rolling Mill                                  ","1522","LPH","L63","Unequal legs             ","0","1522","0","0",0,"INSP2"
2,67545,1,"F","T","03W77Y ","BB    ","F","W77Y  ","B","E",601,"201",32,"0.046","60","0","ad179b72434468ffac702ff96360b0aa","0.045","0.051","60.125","12000","40000","19970","1A","C","707","FH70","VIBRATION CHATTER FROM GP                         ","707",8,"Operation Defect                                  ",707,"F046","Line 3520                                         ","707","CM ","A70","Chatter - GP             ","0","707","0","0",4340,"     "
3,67565,1,"F","T","07W64F ","B     ","F","W64F  ","B","H",20,"304",32,"0.0575","36","0","ad179b72434468ffac702ff96360b0aa","0.057","0.063","36.0625","15000","36000","23350","1A","C","2710","F947","Pits from Cold Rolling                            ","2710",8,"Operation Defect                                  ",2710,"F041","Line 3330                                         ","2710","CM ","C65","Pits                     ","2584","126","0","0",4340,"     "
4,67575,1,"L","T","BN19433","      ","L","W71T  ","B","B",155,"303",20,"0.25","0","144","64370679cbd7d044b6c4fe60ae88364d","0.249","0.251","2","500","1500","1507","1","C","112","LF31","Weight Discrepency                                ","112",1,"Defect Not Seen                                   ",112,"L023","LP Packaging                                      ","112","LPF","L96","Weight Discrepency       ","0","0","0","112",0,"INSB2"
5,67647,1,"X","T","02W80B ","B     ","F","W80B  ","B","B",150,"304L          ",1,"0.1875","0","0","b7ed2c4eb3ca651581d6fb635196e665","0","0","0","0","0","20250","1","C","0","FD42","Rolled in Marks/Debris from Scalebreaker          ","0",2,"Wrong Standard                                    ",0,"F043","Line 3340                                         ","0","CM ","D10","Roll Mark                ","0","0","0","0",0,"     "
6,67660,1,"L","T","BN21088","      ","L","W82T  ","B","B",155,"303",11,"1.375","0","144","7db5d2fad1cbaf8f47969656db72c63f","1.3725","1.3775","2","800","1100","1066","1","C","57","LF31","Weight Discrepency                                ","57",8,"Operation Defect                                  ",57,"L023","LP Packaging                                      ","57","LPF","L96","Weight Discrepency       ","0","0","0","57",0,"INSB2"
7,67664,1,"F","S","05W70T ","HA    ","F","W70T  ","P","B",150,"304L          ",1,"1","48","120","2b02d876b77cd8c29b2e8e7bf804fb4e","0.99","1.07","48.375","4000","6000","1700","5A","C","0","F942","Incorrect Material Shipped on Order               ","0",5,"Planning Error                                    ",0,"F005","Planning Error                                    ","0","PLA","B70","Order Match Error        ","0","0","0","0",2780,"     "
8,67672,1,"F","T","02W91A ","B     ","F","W91A  ","B","B",120,"304",22,"0.0311","49","0","b8e9acebf18ada68b0776739b29c12c0","0.0295","0.0335","50","33500","48000","43250","1D","C","4534","FH48","Z-MILL PIMPLE TYPE D (11 ZM 1 & 2 - 7 ZM3)      ","4534",8,"Operation Defect                                  ",4534,"F023","Line 3610                                         ","4534","CM ","D10","Roll Mark                ","0","4534","0","0",4330,"     "
9,67674,1,"F","T","03T70V ","A     ","F","T70V  ","B","F",502,"430",22,"0.0301","48","0","eebd792a891a064d2bd57e436fd4b7da","0.029","0.031","48.0625","10000","30000","25460","1A","C","0","FV44","2 Tone Stripe -Wide/Consistent Across Width       ","0",8,"Operation Defect                                  ",0,"F041","Line 3330                                         ","0","CM ","F08","Streaks                  ","0","0","0","0",4220,"     "
10,67677,1,"F","T","04W78V ","B     ","F","W78V  ","B","B",127,"304",22,"0.039","49","0","b8e9acebf18ada68b0776739b29c12c0","0.0374","0.0414","50","33500","48000","29550","1A","C","10910","F945","Under/Over Min/Max Weight Limits.                 ","10910",8,"Operation Defect                                  ",10910,"F041","Line 3330                                         ","10910","PLA","B70","Order Match Error        ","0","10910","0","0",4220,"     "
11,67678,1,"X","T","H14329 ","      ","F","W81P  ","C","B",150,"304L          ",1,"0.375","0","120","b7ed2c4eb3ca651581d6fb635196e665","0","0","0","0","0","4050","1","C","4050","F945","Under/Over Min/Max Weight Limits.                 ","4050",8,"Operation Defect                                  ",4050,"F029","Line 4600                                         ","4050","PLA","B70","Order Match Error        ","4050","0","0","0",0,"     "
12,67679,1,"X","T","H14330 ","      ","F","W81P  ","C","B",150,"304L          ",1,"0.375","0","120","b7ed2c4eb3ca651581d6fb635196e665","0","0","0","0","0","4355","1","C","4355","F945","Under/Over Min/Max Weight Limits.                 ","4355",8,"Operation Defect                                  ",4355,"F029","Line 4600                                         ","4335","PLA","B70","Order Match Error        ","4355","0","0","0",0,"     "
13,67682,1,"F","T","02W90Y ","A     ","F","W90Y  ","B","B",150,"304L          ",22,"0.187","48","0","ba0f7821036a4e935811085fe008b3dc","0.17","0.207","48.0625","10000","20000","18240","1A","C","1511","F070","Customer Head & Tail Scrap                        ","1511",8,"Operation Defect                                  ",1511,"F021","Line 3320                                         ","1511","VAR","B10","Customer H&T Scrap       ","0","1511","0","0",4310,"     "
14,67683,1,"F","T","06W89F ","A     ","F","W89F  ","B","B",150,"304L          ",22,"0.187","48","0","ba0f7821036a4e935811085fe008b3dc","0.17","0.207","48.0625","10000","20000","18650","1A","C","1567","FK57","MULTIPLE LINE SCRATCHES FROM S.K.P.               ","1567",8,"Operation Defect                                  ",1567,"F036","Line 4120                                         ","1567","CM ","D80","SKP Roll Mark -SKP2      ","0","1567","0","0",4310,"     "
15,67685,1,"F","T","03W78B ","A     ","F","W78B  ","B","E",601,"201",22,"0.135","60","0","ad179b72434468ffac702ff96360b0aa","0.129","0.141","60.125","20000","40000","22120","1A","C","714","FZ02","SCRATCHES IN GENERAL FROM COLD ROLLLING           ","714",8,"Operation Defect                                  ",714,"F022","Line 3310                                         ","714","CM ","D55","Scratches                ","0","714","0","0",4310,"     "
16,67697,1,"F","T","02W75T ","A     ","F","W75T  ","B","B",150,"304L          ",22,"0.182","60","0","34edf37dafe27a88ce39644a1a91750a","0.18","0.194","60.125","20000","24000","18030","1A","C","2974","FH44","ACID STAINS                                       ","2974",8,"Operation Defect                                  ",2974,"F021","Line 3320                                         ","2974","CM ","F13","Stains - AP              ","0","2974","0","0",4310,"     "
17,67702,1,"W","T","04W81P ","AA    ","F","W81P  ","B","B",50,"304L          ",22,"0.108","0","0","3d3e020546b954fe9362db781abce851","0.108","0.117","24.951","4000","20000","14520","1","Q","14520","FZ02","SCRATCHES IN GENERAL FROM COLD ROLLLING           ","14520",40,"Warehouse Error                                   ",14520,"F040","Warehouse Error                                   ","14520","CM ","D55","Scratches                ","0","1958","12562","0",4101,"     "
18,67713,1,"F","T","03W90Y ","A     ","F","W90Y  ","B","B",150,"304L          ",22,"0.187","48","0","ba0f7821036a4e935811085fe008b3dc","0.17","0.207","48.0625","10000","20000","18320","1A","C","4508","F070","Customer Head & Tail Scrap                        ","4508",8,"Operation Defect                                  ",4508,"F026","Line 4310                                         ","4508","VAR","B10","Customer H&T Scrap       ","0","4508","0","0",4310,"     "
19,67729,1,"F","T","02W94N ","A     ","F","W94N  ","B","B",150,"304L          ",22,"0.187","60","0","ba0f7821036a4e935811085fe008b3dc","0.177","0.207","60.1875","10000","20000","21820","1A","C","21820","FJ47","WORK ROLL MARKS FROM SKP #2 (108)                ","21820",1,"Defect Not Seen                                   ",21820,"F036","Line 4120                                         ","21820","CM ","D80","SKP Roll Mark -SKP2      ","0","5340","16480","0",4310,"     "
20,67730,1,"X","T","H14333 ","      ","F","W81P  ","C","B",150,"304L          ",1,"0.375","0","120","b7ed2c4eb3ca651581d6fb635196e665","0","0","0","0","0","2310","1","C","770","FF54","OUT OF TOLERANCE IN FLATNESS (SHEET)              ","770",1,"Defect Not Seen                                   ",770,"F028","Line 4210                                         ","770","CM ","C23","OOT Shape-CR             ","0","770","0","0",0,"     "
21,67733,1,"F","T","02W92V ","E     ","F","W92V  ","B","B",150,"304L          ",22,"0.182","60","0","34edf37dafe27a88ce39644a1a91750a","0.18","0.194","60.125","20000","24000","12030","1A","C","358","FF20","PAPER PATTERN - RANDOM / WIDTH                    ","358",8,"Operation Defect                                  ",358,"F024","Line 3620                                         ","358","CM ","C55","Paper Pattern            ","0","358","0","0",4310,"     "
22,67734,1,"F","T","02W75T ","B     ","F","W75T  ","B","B",150,"304L          ",22,"0.182","60","0","34edf37dafe27a88ce39644a1a91750a","0.18","0.194","60.125","20000","24000","18430","1A","C","885","FB39","IMPRINTS FROM FURNACE (HOT ROLLING)               ","885",8,"Operation Defect                                  ",885,"F011","Hot Mill                                          ","885","LC ","B65","Imprints                 ","0","885","0","0",4310,"     "
23,67736,1,"F","T","H14333 ","      ","F","W81P  ","C","H",50,"304L          ",1,"0.375","60","120","0881933fb16e94e78ccc21bf7a06dad7","0.365","0.405","60.25","3000","5000","2310","5A","C","770","FF54","OUT OF TOLERANCE IN FLATNESS (SHEET)              ","770",1,"Defect Not Seen                                   ",770,"F028","Line 4210                                         ","770","CM ","C23","OOT Shape-CR             ","0","770","0","0",4210,"     "
24,67739,1,"F","T","02W80R ","D     ","F","W80R  ","B","B",120,"304",32,"0.1163","60","0","3666591740069bed237968c8802716f3","0.115","0.125","60.125","10000","44000","20920","1A","C","7807","FH50","WORK ROLL STOP FROM Z.M.                          ","7807",8,"Operation Defect                                  ",7807,"F024","Line 3620                                         ","7807","CM ","D10","Roll Mark                ","6470","1337","0","0",4340,"     "
25,67742,1,"F","T","03W96M ","A     ","F","W96M  ","B","B",150,"304L          ",1,"0.3118","48","0","8ea4309a84e315fffe6e862bb483b223","0.3025","0.3425","48.1875","18000","25000","11470","5A","C","890","FT51","SLIPS FROM CS LINE                                ","890",8,"Operation Defect                                  ",890,"F028","Line 4210                                         ","890","CM ","D85","Slip/ Digs               ","0","890","0","0",4210,"     "
26,67744,1,"F","T","03W75A ","D     ","F","W75A  ","B","E",601,"201",32,"0.0345","60","0","ad179b72434468ffac702ff96360b0aa","0.034","0.038","60.125","15000","26000","6180","1A","C","6180","FH70","VIBRATION CHATTER FROM GP                         ","6180",8,"Operation Defect                                  ",6180,"F046","Line 3520                                         ","6180","CM ","A70","Chatter - GP             ","0","147","6033","0",4320,"     "
27,67747,1,"F","T","01W75B ","B     ","F","W75B  ","B","E",601,"201",22,"0.165","60","0","7279e8697839520844b82317c8fae6a9","0.158","0.172","60.125","10000","20000","18220","1A","C","1159","FJ57","LINE SCRATCHES FROM FINISH LINES                  ","1159",8,"Operation Defect                                  ",1159,"F026","Line 4310                                         ","1159","CM ","D55","Scratches                ","0","1159","0","0",4310,"     "
28,67748,1,"F","T","01W75B ","C     ","F","W75B  ","B","E",601,"201",22,"0.165","60","0","7279e8697839520844b82317c8fae6a9","0.158","0.172","60.125","10000","20000","18380","1A","C","1029","FJ57","LINE SCRATCHES FROM FINISH LINES                  ","1029",8,"Operation Defect                                  ",1029,"F026","Line 4310                                         ","1029","CM ","D55","Scratches                ","0","1029","0","0",4310,"     "
29,67750,1,"F","T","02W86T ","A     ","F","W86T  ","B","F",502,"430",22,"0.0402","60","0","eebd792a891a064d2bd57e436fd4b7da","0.0371","0.0433","60.125","10000","30000","20040","1A","C","1800","FJ45","WORK ROLL MARKS FROM SKP#1 (106)                 ","1800",8,"Operation Defect                                  ",1800,"F022","Line 3310                                         ","1800","CM ","D81","SKP Roll Mark - AP       ","0","1800","0","0",4220,"     "
