"DefectCode","totaldefectcount"
"000       ","1"
"030       ","28"
"043       ","9"
"071       ","16"
"104       ","5"
"402       ","1"
"403       ","956"
"409       ","1"
"903       ","148"
"953       ","119"
"A10       ","18"
"A12       ","5"
"A14       ","36"
"A22       ","6"
"A54       ","18"
"B03       ","2"
"B07       ","312"
"B08       ","3"
"B12       ","48"
"B32       ","17"
"B33       ","56"
"B34       ","25"
"B39       ","8"
"B44       ","1"
"B46       ","28"
"B48       ","388"
"B51       ","372"
"B98       ","33"
"C00       ","3"
"C01       ","417"
"C02       ","26"
"C03       ","6"
"C04       ","3"
"C09       ","8"
"C10       ","40"
"C11       ","1"
"C12       ","404"
"C13       ","16"
"C15       ","146"
"C18       ","1"
"C21       ","816"
"C22       ","67"
"C23       ","978"
"C24       ","11"
"C27       ","46"
"C28       ","3"
"C37       ","170"
"C38       ","21"
"C39       ","216"
"C40       ","834"
"C41       ","1"
"C42       ","130"
"C43       ","1"
"C44       ","4"
"C47       ","422"
"C51       ","2996"
"C57       ","139"
"C60       ","41"
"C62       ","6773"
"D16       ","279"
"D42       ","2495"
"D51       ","190"
"D52       ","3"
"D57       ","85"
"DEFECT53  ","1"
"DEFECT67  ","1"
"F04       ","11"
"F08       ","3"
"F12       ","2"
"F14       ","108"
"F17       ","1"
"F24       ","1"
"F25       ","4"
"F43       ","74"
"F45       ","76"
"F46       ","7"
"F56       ","11"
"F80       ","4"
"F84       ","2"
"F91       ","1"
"H25       ","1"
"H43       ","763"
"H44       ","565"
"K41       ","69"
"L11       ","1"
"L45       ","110"
"L47       ","115"
"L48       ","7"
"L55       ","128"
"L57       ","890"
"L59       ","38"
"N44       ","8"
"P44       ","257"
"P51       ","23"
"Z44       ","3"
"Z67       ","271"
"Z68       ","10"
"Z69       ","2"
