"FlatCoilID","CoilNumber","SteelGradeID","FinishTypeID","WorkCodeID","Length","Width","Weight","Thickness","ShiftID","CrewID","ProcesoID","ZMInitialThickness"
"6232644","02X07K      ","7","41","1331","752124.48","1246.87076","26343.815","3.50012","38","14","15915420","3.50012"
"6232666","03X09H      ","34","41","1329","882761.76","1248.95102","26543.355","2.99974","38","14","15915447","2.99974"
"6232679","05X09H      ","34","41","1329","757854.72","1248.95102","26588.705","3.50012","38","14","15915463","3.50012"
"6232683","02X09K      ","3","41","1347","577474.08","1117.9556","19083.28","3.683","37","13","15915467","3.683"
"6232704","03X09F      ","34","41","1329","661812.24","1248.95102","26538.82","4.0005","37","13","15915488","4.0005"
"6232715","01X08X      ","34","41","1331","662909.52","1246.87076","26538.82","4.0005","37","13","15915503","4.0005"
"6232758","02X08X      ","34","41","1331","663031.44","1246.87076","26543.355","4.0005","37","13","15915546","4.0005"
"6232759","03X08X      ","34","41","1331","663702","1246.87076","26570.565","4.0005","37","13","15915547","4.0005"
"6232780","04X08X      ","34","41","1329","663702","1246.87076","26570.565","4.0005","37","13","15915579","4.0005"
"6232788","05X08X      ","34","41","1329","664281.12","1246.87076","26593.24","4.0005","37","13","15915590","4.0005"
"6232815","02X08T      ","3","41","1329","663488.64","1246.87076","26561.495","4.0005","37","13","15915621","4.0005"
"6232831","04X09F      ","34","41","1331","661141.68","1248.95102","26511.61","4.0005","37","13","15915645","4.0005"
"6232847","05X09F      ","34","41","1331","660897.84","1248.95102","26502.54","4.0005","37","13","15915666","4.0005"
"6232863","01X09D      ","34","41","1331","663061.92","1248.95102","26588.705","4.0005","37","13","15915687","4.0005"
"6232888","03X09D      ","34","41","1331","663732.48","1248.95102","26615.915","4.0005","37","13","15915749","4.0005"
"6232889","04X09D      ","34","41","1331","662726.64","1248.95102","26575.1","4.0005","37","13","15915750","4.0005"
"6232905","01X09F      ","34","41","1331","661690.32","1248.95102","26534.285","4.0005","37","13","15915810","4.0005"
"6232917","02X09F      ","34","41","1329","662391.36","1248.95102","26561.495","4.0005","37","13","15915828","4.0005"
"6232918","05X09D      ","34","41","1329","662269.44","1248.95102","26556.96","4.0005","37","13","15915829","4.0005"
"6232925","04X09H      ","34","41","1331","661598.88","1248.95102","26529.75","4.0005","37","13","15915837","4.0005"
"6232939","03X08T      ","3","41","1329","663275.28","1246.87076","26552.425","4.0005","37","13","15915854","4.0005"
"6232945","01X08T      ","3","41","1331","664159.2","1246.87076","26588.705","4.0005","37","13","15915928","4.0005"
"6232946","02X09M      ","34","41","2173","591372.96","1092.87564","23346.18","4.50088","37","13","15915929","4.50088"
"6232951","06X09M      ","34","41","2173","592074","1092.87564","23373.39","4.50088","37","13","15915936","4.50088"
"6232969","04X08Y      ","34","41","1331","481553.52","1248.95102","26543.355","5.4991","37","13","15915959","5.4991"
"6232970","05X08Y      ","34","41","1331","481797.36","1248.95102","26556.96","5.4991","37","13","15915960","5.4991"
"6232971","01X09A      ","34","41","1331","481370.64","1248.95102","26534.285","5.4991","37","13","15915961","5.4991"
"6232972","01X09H      ","34","41","1331","480486.72","1248.95102","26486.214","5.4991","37","13","15915962","5.4991"
"6233004","02X09H      ","34","41","1331","482437.44","1248.95102","26593.24","5.4991","37","13","15915997","5.4991"
"6233005","02X08R      ","3","41","1331","481279.2","1246.87076","26484.4","5.4991","37","13","15915998","5.4991"
"6233022","04X08T      ","3","41","1331","428792.64","1246.87076","26593.24","6.1976","37","13","15916157","6.1976"
"6233023","03X08Y      ","34","41","1331","427908.72","1248.95102","26584.17","6.1976","37","13","15916158","6.1976"
"6233039","01X08Y      ","34","41","1331","334304.64","1248.95102","26538.82","7.91972","37","13","15916185","7.91972"
"6233040","01X09J      ","3","41","1347","334975.2","1248.95102","26593.24","7.91972","37","13","15916186","7.91972"
"6233056","04X08R      ","3","41","1348","423580.56","1246.87076","26593.24","6.2738","37","13","15916202","6.2738"
"6233063","05X08T      ","3","41","1347","422788.08","1246.87076","26543.355","6.2738","37","13","15916213","6.2738"
"6233072","04X09J      ","3","41","1331","358170.48","1248.95102","22250.524","6.1976","37","13","15916227","6.1976"
"6233090","06X09H      ","34","41","1331","428274.48","1248.95102","26606.845","6.1976","37","13","15916245","6.1976"
"6233091","02X08Y      ","34","41","1331","427542.96","1248.95102","26561.495","6.1976","37","13","15916246","6.1976"
"6233104","06X09A      ","34","41","1331","427421.04","1248.95102","26552.425","6.1976","37","13","15916267","6.1976"
"6233105","06X10K      ","34","41","1331","333847.44","1248.95102","26502.54","7.91972","37","13","15916268","7.91972"
"6233125","05X08R      ","3","41","1347","279074.88","1246.87076","26602.31","9.525","37","13","15916335","9.525"
"6233134","03X10C      ","34","41","1331","336042","1244.6","26584.17","7.91972","37","13","15916348","7.91972"
"6233135","01X09M      ","34","41","1331","341772.24","1092.87564","23740.725","7.91972","37","13","15916349","7.91972"
"6233156","06X09P      ","34","41","1331","357652.32","1044.8798","18588.965","6.1976","37","13","15916374","6.1976"
"6233166","03X09P      ","34","41","1329","482955.6","1044.8798","22271.385","5.4991","37","13","15916388","5.4991"
"6233171","04X09P      ","34","41","1331","481980.24","1044.8798","22226.035","5.4991","37","13","15916447","5.4991"
"6233180","03X10H      ","34","41","1331","480060","1248.95102","26461.725","5.4991","37","13","15916512","5.4991"
"6233211","05X10C      ","34","41","1331","482711.76","1244.6","26516.145","5.4991","37","13","15916558","5.4991"
