"WorkCode","CurrentGuage","CurrentWidth","SheetLength","CoilLength","InternalQuality","NetWeight","OutsideFinish","InsideFinish","PreviousLineID","SteelGradeID","LineYield","AccumulatedYield","ProcessingSequence","LineEntryProductDivision","LineEntryWeight","PreviousWidthInSlitter","ZMillInitialThickness","CoilNumber"
"54","0.1181","36.4","0","2937.8","AD","43950","1","1","18","32","0.989","0.988","60","      ","44423","0","0.1181","04Y36Y"
"53","0.1575","53.5774","0","2105.3","AA","60120","1","1","18","26","0.986","0.984","57","      ","60957","0","0.1575","01X17Y"
"8","0.1575","61.0574","0","2194.3","AA","73432","1","1","18","3","0.994","0.99","159","      ","73876","0","0.1575","03X53T"
"8","0.1378","49.0107","0","2100.6","AA","48690","1","1","18","210","0.938","0.936","162","      ","51918","0","0.1378","03AC6Y"
"13","0.2165","61.4","0","1591.8","RP","73640","1","1","18","34","0.991","0.987","78","      ","74317","0","0.2165","03Y99T"
"73","0.2165","49.7587","0","1228.5","AA","44150","1","1","18","36","0.99","0.92","48","      ","44577","1269.0009","0.2165","07Y19B"
"13","0.244","49.798","0","1361.9","AB","57390","1","1","18","98","0.989","0.947","159","      ","58025","1269.9992","0.244","01AA7W"
"11","0.1575","49.0894","0","1747.5","AA","47020","1","1","18","32","0.988","0.984","159","      ","47575","0","0.1575","02X22A"
"52","0.1378","44.2","0","2424.9","AA","49980","1","1","18","104","0.986","0.981","60","      ","50684","0","0.1378","03AM1P"
"13","0.3118","61.4117","0","863.2","AC","56730","1","1","18","210","0.99","0.984","135","      ","57320","0","0.3118","02AB1D"
"11","0.1378","41.2551","0","2504","AA","49540","1","1","18","27","0.99","0.99","21","      ","50044","0","0.1378","04Y53D"
"70","0.1575","61.333","0","2183.4","AA","73400","1","1","18","34","0.992","0.991","129","      ","74006","0","0.1575","03AE6V"
"52","0.1378","51.0972","0","2443.4","AA","58220","1","1","18","104","0.987","0.981","51","      ","58973","0","0.1378","02AH6C"
"13","0.2165","49.1681","0","1561.1","AA","57830","1","1","18","34","0.991","0.971","93","      ","58378","1253.9991","0.2165","01Y90F"
"13","0.1575","49.1","0","2194.5","AB","59060","1","1","18","3","0.992","0.989","45","      ","59546","0","0.1575","01Y48K"
"61","0.25","61.333","0","1374.6","AA","74110","1","1","18","19","0.993","0.989","12","      ","74648","0","0.25","02AB3P"
"11","0.1378","49.1288","0","2481.6","AD","58466","1","1","18","7","0.994","0.989","75","      ","58819","0","0.1378","04W88K"
"13","0.244","49.0894","0","1415.2","AA","58991","1","1","18","34","0.994","0.992","159","      ","59348","0","0.244","05X22E"
"54","0.1181","36.4521","0","2936.9","AB","44000","1","1","18","32","0.989","0.989","27","      ","44467","0","0.1181","07Y36T"
"43","0.25","40.2315","0","1384.9","AA","46470","1","1","18","78","0.992","0.987","39","      ","46826","0","0.25","05AD0F"
"13","0.1575","49.1","0","2186.7","AA","58850","1","1","18","34","0.992","0.989","144","      ","59348","0","0.1575","03Y73J"
"61","0.247","61.4905","0","1395.3","AA","73750","1","1","18","3","0.99","0.986","126","      ","74471","0","0.247","05Y65H"
"73","0.1378","49.4831","0","2475.8","AB","56320","1","1","18","44","0.99","0.985","51","      ","56901","0","0.1378","05X76L"
"13","0.1575","49.2075","0","2190.9","AB","59090","1","1","18","34","0.993","0.989","9","      ","59480","0","0.1575","05Y81Y"
"61","0.1875","61.333","0","1829.4","AA","73970","1","1","18","19","0.991","0.986","141","      ","74648","0","0.1875","01AC6A"
"13","0.3118","49.1","0","1100.4","AA","58630","1","1","18","34","0.991","0.988","81","      ","59149","0","0.3118","06Y73F"
"13","0.1575","61.333","0","2171.5","AA","73000","1","1","18","34","0.99","0.985","54","      ","73766","0","0.1575","02Y03Y"
"13","0.2165","49.1288","0","1581.5","AB","58540","1","1","18","34","0.992","0.986","33","      ","59017","0","0.2165","01AA5B"
"61","0.1875","61.2543","0","1837.8","AA","73454","1","1","18","3","0.994","0.989","30","      ","73898","0","0.1875","04X02W"
"54","0.1575","49.1288","0","2167.6","AA","58370","1","1","18","7","0.989","0.986","84","      ","58995","0","0.1575","02AD5C"
"13","0.1575","49.2862","0","1781.3","AB","48120","1","1","18","3","0.987","0.934","135","      ","48766","1256.999","0.1575","06W98J"
"53","0.1575","48.97","0","2147.8","AA","56060","1","1","18","104","0.989","0.983","129","      ","56702","0","0.1575","03Y93H"
"8","0.1575","49.1","0","2085.7","AD","56130","1","1","18","34","0.951","0.947","141","      ","59039","0","0.1575","03X58A"
"13","0.1875","61.1","0","1836","AA","73200","1","1","18","8","0.989","0.986","147","      ","74006","0","0.1875","03Y24B"
"73","0.1575","49.1681","0","2098.4","AD","54210","1","1","18","84","0.991","0.957","72","      ","54718","0","0.1575","04X34V"
"54","0.1181","49.9555","0","2848","AA","56860","1","1","18","104","0.988","0.983","18","      ","57562","0","0.1181","02X35V"
"13","0.1575","49.1681","0","2190","AA","59020","1","1","18","34","0.991","0.987","78","      ","59568","0","0.1575","06AF3N"
"53","0.1378","38.7748","0","2390.8","AD","43230","1","1","18","104","0.985","0.982","36","      ","43894","0","0.1378","02Y00J"
"61","0.259","42.8298","0","1309.4","AA","50550","1","1","18","1","0.987","0.987","141","      ","51235","0","0.259","03X90X"
"13","0.1575","61.333","0","2174.8","AC","73110","1","1","18","3","0.99","0.986","168","      ","73854","0","0.1575","01X63P"
"54","0.1378","42.5542","0","2432.7","AC","47590","1","1","18","36","0.992","0.957","54","      ","47994","1091.9992","0.1378","02Y96D"
"13","0.3118","61.2","0","1102.4","AA","72200","1","1","18","210","0.984","0.981","186","      ","73347","0","0.3118","02AM3R"
"43","0.1772","49.7587","0","1928.8","AB","56734","1","1","18","37","0.994","0.991","123","      ","57077","0","0.1772","02AH7K"
"11","0.134","49.2862","0","2547.6","AA","58350","1","1","18","98","0.985","0.983","15","      ","59216","0","0.134","04AA8A"
"46","0.1575","60.9031","0","2136","AA","69335","1","1","18","26","0.994","0.99","123","      ","69754","0","0.1575","04AC0D"
"13","0.1575","49.3256","0","2177.5","AA","58870","1","1","18","34","0.992","0.989","144","      ","59370","0","0.1575","01Y82V"
"90","0.1969","48.9744","0","1420.3","AB","46350","1","1","28","104","0.994","0.982","6","      ","46630","0","0.1969","05X04D"
"54","0.1181","50.3098","0","2875.6","AA","59460","1","1","18","34","0.987","0.967","6","      ","60230","1282.9994","0.1181","04AJ9H"
"61","0.1811","61.2149","0","1887.8","AA","72580","1","1","18","98","0.987","0.983","3","      ","73568","0","0.1811","04X55T"
"33","0.1378","45.4675","0","2437.4","AB","51680","1","1","18","104","0.987","0.978","54","      ","52359","0","0.1378","01AK2V"
"73","0.2165","39.5622","0","1474.7","AD","42140","1","1","18","36","0.99","0.906","57","      ","42549","0","0.2165","06X35E"
"13","0.2165","61.3","0","1589.9","AA","73430","1","1","18","34","0.992","0.987","9","      ","74006","0","0.2165","06Y74W"
"53","0.1378","37.4757","0","1926.1","AD","33660","1","1","18","182","0.985","0.94","33","      ","34171","961.9994","0.1378","06AH7E"
"61","0.237","41.1763","0","1419.2","AA","48200","1","1","18","1","0.99","0.986","48","      ","48678","0","0.237","03AH3Y"
"13","0.244","61.333","0","1407.2","AB","73290","1","1","18","3","0.99","0.985","93","      ","74030","0","0.244","02Y04E"
"61","0.184","43.0928","0","1896.1","AA","52140","1","1","18","98","0.99","0.988","24","      ","52646","0","0.184","05Y26F"
"73","0.1969","41","0","1741.8","AA","46910","1","1","18","44","0.992","0.986","75","      ","47267","0","0.1969","05Y81K"
"13","0.2165","49.2","0","1563.8","AA","57970","1","1","18","34","0.992","0.972","45","      ","58444","1254.9999","0.2165","05AB5A"
"61","0.247","49.0894","0","1409.3","AA","59470","1","1","18","3","0.991","0.986","99","      ","60031","0","0.247","04Y05E"
"13","0.1575","49.2469","0","2177.7","AA","59390","1","1","18","19","0.989","0.986","87","      ","60053","0","0.1575","03AE9B"
"13","0.1575","61.2543","0","2180.2","AB","73200","1","1","18","3","0.99","0.985","114","      ","73942","0","0.1575","01X00A"
"11","0.1378","51.5302","0","2041.1","AA","50960","1","1","18","22","0.991","0.95","120","      ","51411","1306","0.1378","05Y87K"
"61","0.25","61.4117","0","1370.2","AA","73970","1","1","18","19","0.99","0.985","51","      ","74692","0","0.25","03X37F"
"13","0.1575","61.333","0","2129","AA","71570","1","1","18","34","0.982","0.97","36","      ","72884","0","0.1575","03Y31X"
"13","0.1575","49.2","0","1083.2","AA","29210","1","1","18","3","0.994","0.986","150","      ","29387","0","0.1575","03AB5C"
"61","0.1875","61.3","0","1837.8","AA","73510","1","1","18","34","0.991","0.991","18","      ","74141","0","0.1875","01Y06T"
