"ProcesoID","CrewID","ShiftID","CurrentGuage","CurrentWidth","CoilLength","NetWeight","LineYield","AccumulatedYield","ProcessingSequence","LineEntryWeight","ZMillInitialThickness"
"15877412","16","37","0.244","61.333","1399.6","72890","0.992","0.986","84","73479","0.244"
"15877433","16","37","0.2464","61.333","1387.1","72950","0.988","0.985","93","73810","0.2464"
"15877440","16","37","0.247","61.333","1387.9","73170","0.99","0.983","96","73920","0.247"
"15877467","16","37","0.25","48.9713","831.1","35410","0.989","0.979","99","35803","0.25"
"15877468","16","37","0.25","49.8713","814.7","35350","0.988","0.98","102","35781","0.25"
"15877469","16","37","0.244","48.9713","1415.4","58860","0.991","0.987","105","59414","0.244"
"15877558","16","37","0.247","60","1414.4","72948","0.994","0.983","108","73389","0.247"
"15877559","16","37","0.1772","48.9713","1939.5","58570","0.991","0.986","111","59105","0.1772"
"15877609","16","37","0.1772","49.1288","1916","58046","0.994","0.978","114","58397","0.1772"
"15877610","16","37","0.1772","48.9713","1950.4","58900","0.991","0.988","117","59458","0.1772"
"15877657","16","37","0.1772","48.9713","1947.4","58810","0.991","0.987","120","59370","0.1772"
"15877658","16","37","0.2165","48.9713","1584.9","58480","0.991","0.985","123","59039","0.2165"
"15877688","16","37","0.1772","48.9713","1949.7","58880","0.991","0.987","126","59436","0.1772"
"15877734","16","37","0.2165","48.9713","1580.9","58330","0.99","0.985","129","58929","0.2165"
"15877782","16","37","0.2165","48.9713","1591.7","58730","0.99","0.986","132","59348","0.2165"
"15877783","16","37","0.25","48.9713","832.7","35480","0.987","0.977","135","35935","0.25"
"15877810","16","37","0.244","54.3254","1402.8","64710","0.989","0.983","138","65408","0.244"
"15877822","16","37","0.244","54.2073","1409.9","64900","0.99","0.985","141","65543","0.244"
"15877835","16","37","0.244","54.1286","1409.6","64790","0.991","0.986","144","65408","0.244"
"15877836","16","37","0.244","54.2073","1408","64810","0.991","0.987","147","65366","0.244"
"15877896","16","37","0.244","54.6404","1403.5","65120","0.99","0.986","150","65763","0.244"
"15877897","16","37","0.244","54.3254","1403.4","64740","0.989","0.983","153","65433","0.244"
"15877939","16","37","0.247","61.333","1387.9","73170","0.99","0.984","156","73876","0.247"
"15877956","16","37","0.283","61.333","1203","72670","0.991","0.983","159","73347","0.283"
"15877993","16","37","0.3118","61.333","1099.4","73170","0.994","0.986","162","73612","0.3118"
"15877994","16","37","0.375","61.333","895.6","71690","0.989","0.987","165","72465","0.375"
"15878012","16","37","0.45","61.2543","762.6","73160","0.991","0.985","168","73854","0.45"
"15878044","16","37","0.375","61.333","880.8","70500","0.989","0.968","174","71319","0.375"
"15878063","15","38","0.247","61.333","1386.7","73110","0.991","0.983","3","73788","0.247"
"15878064","15","38","0.2165","61.333","1582.5","73130","0.991","0.983","6","73788","0.2165"
"15878065","15","38","0.2165","54.2","1584.9","64720","0.991","0.986","9","65300","0.2165"
"15878075","15","38","0.1875","49.1","1836.2","58830","0.991","0.985","12","59370","0.1875"
"15878091","15","38","0.1875","49.1","1840.6","58970","0.991","0.987","18","59480","0.1875"
"15878092","15","38","0.1875","49.1","1842.7","59035","0.994","0.989","21","59392","0.1875"
"15878128","15","38","0.178","61.333","1928.5","73270","0.991","0.986","24","73942","0.178"
"15878129","15","38","0.178","61.333","1926.7","73200","0.992","0.986","27","73810","0.178"
"15878130","15","38","0.1575","61.1787","2183.2","73210","0.989","0.983","30","74008","0.1575"
"15878150","15","38","0.1575","54.2073","2179.3","64750","0.989","0.984","33","65477","0.1575"
"15878177","15","38","0.1575","54.2073","2178.3","64720","0.989","0.983","39","65408","0.1575"
"15878178","15","38","0.1575","54.2","1484.8","44110","0.991","0.983","42","44533","0.1575"
"15878212","15","38","0.1575","54.2","2180.9","64790","0.989","0.984","45","65521","0.1575"
"15878213","15","38","0.1575","54.2073","2182.3","64840","0.99","0.985","48","65521","0.1575"
"15878214","15","38","0.1575","49.1681","2183","58830","0.99","0.986","51","59436","0.1575"
"15878235","15","38","0.1575","49.1","2186","58830","0.991","0.987","54","59348","0.1575"
"15878250","15","38","0.1378","54.9947","2479.1","65380","0.99","0.985","57","66028","0.1378"
"15878285","15","38","0.1378","54.8766","2486.7","65440","0.99","0.987","60","66094","0.1378"
"15878286","15","38","0.1378","54.7978","2495.2","65570","0.99","0.987","66","66204","0.1378"
"15878287","15","38","0.1378","54.7585","2409","63260","0.986","0.951","69","64132","0.1378"
"15878333","15","38","0.1378","54.7191","2385.2","62590","0.988","0.937","72","63338","0.1378"
"15878391","15","38","0.1378","54.2","2497.7","64920","0.99","0.985","75","65543","0.1378"
"15878392","15","38","0.1378","54.2","2495","64850","0.99","0.986","78","65521","0.1378"
"15878444","15","38","0.1378","48.9713","2004.7","47080","0.99","0.985","84","47553","0.1378"
"15878487","15","38","0.1181","36.4521","2916","43686","0.994","0.983","87","43950","0.1181"
"15878509","15","38","0.1181","36.4521","2894.8","43368","0.994","0.98","90","43630","0.1181"
"15878529","15","38","0.1575","49.9319","2141.1","58596","0.994","0.981","93","58950","0.1575"
"15878530","15","38","0.1575","49.1","2185.6","58820","0.99","0.985","99","59414","0.1575"
"15878531","15","38","0.1575","49.1","2184.9","58800","0.99","0.985","102","59370","0.1575"
"15878632","15","38","0.1575","49.1","2193.7","59035","0.994","0.988","105","59392","0.1575"
"15878641","15","38","0.1575","49.1","2193.7","59035","0.994","0.989","108","59392","0.1575"
"15878642","15","38","0.1575","49.1","2194.5","59057","0.994","0.988","111","59414","0.1575"
"15878654","15","38","0.1575","49.1","2192.8","59013","0.994","0.989","114","59370","0.1575"
"15878694","15","38","0.1575","49.1","2190.4","58948","0.994","0.989","117","59304","0.1575"
"15878765","15","38","0.1575","49.1","2188.8","58904","0.994","0.988","120","59260","0.1575"
"15878766","15","38","0.1772","48.9713","1949.8","58882","0.994","0.99","123","59238","0.1772"
"15878792","15","38","0.1875","49.1","1837.5","58870","0.99","0.986","126","59436","0.1875"
"15878828","15","38","0.1875","49.1","1839.3","58926","0.994","0.99","129","59282","0.1875"
"15878829","15","38","0.1875","49.1681","1840.1","59035","0.994","0.99","132","59392","0.1875"
